Molecule ChEMBL ID;Molecule Name;Molecular Weight;#RO5 Violations;AlogP;Compound Key;Smiles;Standard Type;Standard Value;Standard Units;pChEMBL Value;Potential Duplicate;BAO Label
CHEMBL1863413;;237.66;0;35096;DNDI1433776;OC(c1cccnc1)c1ccc(Cl)cc1F;IC50;100000.0;nM;;False;cell-based format
CHEMBL1863328;;456.53;0;22706;DNDI1433777;CC(C)CS(=O)(=O)NC1CCN(C(c2ccc(C(F)(F)F)cc2)c2cnccn2)CC1;IC50;62270.0;nM;44287;False;cell-based format
CHEMBL1863041;;387.91;0;13971;DNDI1433778;CC(C)(C)OC(=O)N1CCN(C(c2ccc(Cl)cc2)c2cccnc2)CC1;IC50;27.0;nM;21002;False;organism-based format
CHEMBL29400;;331.20;0;44381;DNDI1267120;OC(c1ccc(Cl)cc1)(c1cncnc1)c1cccc(Cl)c1;IC50;513.0;nM;47270;False;organism-based format
CHEMBL1862821;;358.70;1;41791;DNDI1336035;CCCCOC(Cc1ccc(Cl)nc1)c1ccc(Cl)cc1Cl;IC50;10000.0;nM;;False;organism-based format
CHEMBL1863248;;403.55;0;35462;DNDI1462989;CC(C)Oc1ccc(C(NC2CCN(S(C)(=O)=O)CC2)c2cccnc2)cc1;IC50;140.0;nM;31199;False;organism-based format
CHEMBL1863436;;446.90;1;18384;DNDI1614386;FC(F)(F)c1ccc(N2CCC(NC(c3ccc(Cl)cc3)c3cccnc3)CC2)nc1;IC50;46.0;nM;12601;False;organism-based format
CHEMBL1863048;;446.90;1;18384;DNDI1695341;FC(F)(F)c1ccc(N2CCC(NC(c3ccc(Cl)cc3)c3cccnc3)CC2)cn1;IC50;39650.0;nM;14702;False;cell-based format
CHEMBL1863205;;443.93;1;13636;DNDI1625113;COc1ccc(N2CCC(NC(c3cccnc3)c3ccc(Cl)cc3F)CC2)cc1F;IC50;47900.0;nM;11780;False;cell-based format
CHEMBL1862962;;387.89;0;34759;DNDI1468000;O=C(C1CC1)N1CCC(NC(c2cccnc2)c2ccc(Cl)cc2F)CC1;IC50;126.0;nM;33025;False;organism-based format
CHEMBL1863344;;418.94;0;19450;DNDI1468001;CC(C)(C)NC(=O)N1CCC(NC(c2cccnc2)c2ccc(Cl)cc2F)CC1;IC50;79.5;nM;44476;False;organism-based format
CHEMBL1863267;;420.92;1;44444;DNDI1576379;N#Cc1cccc(N2CCC(NC(c3cccnc3)c3ccc(Cl)cc3F)CC2)c1;IC50;21.0;nM;25020;False;organism-based format
CHEMBL1862998;;435.49;1;32629;DNDI1610386;CC(C)(C)OC(=O)N1CCC(CN(c2ccc(C(F)(F)F)cc2)c2cccnc2)CC1;IC50;28.0;nM;20271;False;organism-based format
CHEMBL1863267;;420.92;1;44444;DNDI1576379;N#Cc1cccc(N2CCC(NC(c3cccnc3)c3ccc(Cl)cc3F)CC2)c1;IC50;55440.0;nM;46113;False;cell-based format
CHEMBL1863180;;425.57;0;34790;DNDI1462992;CC(C)Oc1ccc(C(NC2CCN(C(=O)OC(C)(C)C)CC2)c2cccnc2)cc1;IC50;58840.0;nM;45017;False;cell-based format
CHEMBL1863117;;374.67;0;28581;DNDI1307369;OC(c1ccc(Cl)cc1)(c1cccnc1)c1ccccc1Br;IC50;76.0;nM;44537;False;organism-based format
CHEMBL1863058;;366.87;0;29221;DNDI1434933;CS(=O)(=O)N1CCN(C(c2ccc(Cl)cc2)c2cncnc2)CC1;IC50;880.0;nM;44353;False;organism-based format
CHEMBL1863370;;460.89;0;19450;DNDI1467773;O=C(NC1CCN(C(c2cncnc2)c2ccc(Cl)cc2F)CC1)c1ccc(F)cc1F;IC50;80980.0;nM;44443;False;cell-based format
